ID,rank,scientificName
178,order,"Burkholderiales"
179,order,"Neisseriales"
180,order,"Nitrosomonadales"
181,order,"""Procabacteriales"""
182,order,"Rhodocyclales"
183,class,"Deltaproteobacteria"
184,order,"N.N. (e.g., Deferrisoma)"
185,order,"Bradymonadales"
186,order,"Desulfarculales"
187,order,"Desulfobacterales"
188,order,"Desulfovibrionales"
189,order,"Desulfurellales"
190,order,"Desulfuromonadales"
191,order,"Myxococcales"
192,order,"Syntrophobacterales"
193,class,"Epsilonproteobacteria"
194,order,"Campylobacterales"
195,order,"Nautiliales"
196,class,"Gammaproteobacteria"
197,order,"N.N. (e.g., Alkalimonas)"
198,order,"Acidiferrobacterales"
199,order,"Aeromonadales"
200,order,"Alteromonadales"
201,order,"Arenicellales"
202,order,"Cardiobacteriales"
203,order,"Cellvibrionales"
204,order,"Chromatiales"
205,order,"Enterobacteriales"
206,order,"Immundisolibacterales"
207,order,"Legionellales"
208,order,"Lysobacterales"
209,order,"Methylococcales"
210,order,"Nevskiales"
211,order,"Oceanospirillales"
212,order,"Orbales"
213,order,"Pasteurellales"
214,order,"Pseudomonadales"
215,order,"Thiotrichales"
216,order,"“Vibrionales”"
217,class,"Hydrogenophilalia"
218,order,"Hydrogenophilales"
219,class,"Oligoflexia"
220,order,"Bacteriovoracales"
221,order,"Bdellovibrionales"
222,order,"Oligoflexales"
223,order,"Silvanigrellales"
224,class,"Zetaproteobacteria"
225,order,"Mariprofundales"
226,phylum,"Rhodothermaeota"
227,class,"Balneolia"
228,order,"Balneolales"
229,class,"Rhodothermia"
230,order,"Rhodothermales"
231,phylum,"Spirochaetae"
232,class,"""Spirochaetes"""
233,order,"Brachyspiriales"
234,order,"Brevinematales"
235,order,"Leptospiriales"
236,order,"Spirochaetales"
237,phylum,"Synergistetes"
238,class,"Synergistia"
239,order,"Synergistales"
240,phylum,"Thermodesulfobacteria"
241,class,"Thermodesulfobacteria"
242,order,"Thermodesulfobacteriales"
243,phylum,"Thermotogae"
244,class,"Thermotogae"
245,order,"Kosmotogales"
246,order,"Mesoaciditogales"
247,order,"Petrotogales"
248,order,"Thermotogales"
249,phylum,"Verrucomicrobia"
250,class,"Opitutae"
251,order,"Opitutales"
252,order,"Puniceicoccales"
253,class,"Spartobacteria"
254,order,"N.N. (Terrimicrobium)"
255,class,"Verrucomicrobiae"
256,order,"Verrucomicrobiales"
257,subkingdom,"POSIBACTERIA"
258,phylum,"Actinobacteria"
259,class,"Acidimicrobiia"
260,order,"Acidimicrobiales"
261,class,"Actinobacteria"
262,order,"Acidothermales"
263,order,"Actinomycetales"
264,order,"Actinopolysporales"
265,order,"Bifidobacteriales"
266,order,"Catenulisporales"
267,order,"Euzebyales"
268,order,"Frankiales"
269,order,"Gaiellales"
270,order,"Geodermatophilales"
271,order,"Glycomycetales"
272,order,"Jiangellales"
273,order,"Kineosporiales"
274,order,"Micrococcales"
275,order,"Micromonosporales"
276,order,"Mycobacteriales"
277,order,"Nakamurellales"
278,order,"Nitriliruptorales"
279,order,"Propionibacteriales"
280,order,"Solirubrobacterales"
281,order,"Streptosporangiales"
282,class,"Coriobacteriia"
283,order,"Coriobacteriales"
284,order,"Eggerthellales"
285,class,"Nitriliruptoria"
286,order,"Egibacterales"
287,order,"Egicoccales"
288,class,"Rubrobacteria"
289,order,"Rubrobacterales"
290,class,"Thermoleophilia"
291,order,"Thermoleophilales"
s292,phylum,"Chlorobacteria"
292,phylum,"Chloroflexi "
293,class,"Anaerolineae"
294,order,"Anaerolineales"
295,class,"Ardenticatenia"
296,order,"Ardenticatenales"
297,class,"Caldilineae"
298,order,"Caldilineales"
299,class,"Chloroflexia"
300,order,"Chloroflexales"
301,order,"Herpetosiphonales"
302,order,"Kallotenuales"
303,class,"Dehalococcoidia"
304,order,"Dehalococcoidales"
305,class,"Ktedonobacteria"
306,order,"Ktedonobacterales"
307,order,"Thermogemmatisporales"
308,class,"Thermoflexia"
309,order,"Thermoflexales"
310,class,"Thermomicrobia"
311,order,"Sphaerobacterales"
312,order,"Thermomicrobiales"
313,phylum,"Firmicutes"
314,class,"Bacilli"
315,order,"Caryophanales "
316,order,"Lactobacillales"
317,class,"Clostridia"
318,order,"Eubacteriales"
319,order,"Halanaerobiales"
320,order,"Natranaerobiales"
321,order,"Thermoanaerobacterales"
322,class,"Erysipelotrichia"
323,order,"Erysipelotrichales"
324,class,"Limnochordia"
325,order,"Limnochordales"
326,class,"Negativicutes"
327,order,"Acidaminococcales"
328,order,"Selenomonadales"
329,order,"Veillonellales"
330,class,"Thermolithobacteria"
331,order,"Thermolithobacterales"
332,class,"Tissierellia"
333,order,"N.N. (Ezakiella)"
334,order,"Tissierellales"
335,phylum,"Tenericutes"
336,class,"Mollicutes"
337,order,"Acholeplasmatales"
338,order,"Anaeroplasmatales"
339,order,"Entomoplasmatales"
340,order,"Haloplasmatales"
341,order,"Mycoplasmatales"
342,order,"Mycoplasmoidales"
343,superkingdom,"EUKARYOTA"
344,kingdom,"PROTOZOA"
345,subkingdom,"EOZOA"
346,infrakingdom,"EUGLENOZOA"
347,phylum,"Euglenozoa"
348,subphylum,"Euglenoida"
349,infraphylum,"Dipilida"
350,superclass,"Rigimonada"
351,class,"Ploeotarea"
352,order,"Ploeotiida"
353,class,"Stavomonadea"
354,subclass,"Heterostavia"
355,order,"Heterostavida"
356,subclass,"Homostavia"
357,order,"Decastavida"
358,order,"Petalomonadida"
359,superclass,"Spirocuta"
360,class,"Euglenophyceae"
361,subclass,"Euglenophycidae"
362,order,"Euglenida"
363,order,"Eutreptiida"
364,subclass,"Rapazia"
365,order,"Rapazida"
366,class,"Peranemea"
367,subclass,"Acroglissia"
368,order,"Acroglissida"
369,subclass,"Anisonemia"
370,order,"Anisonemida"
371,order,"Natomonadida"
372,subclass,"Peranemia"
373,order,"Peranemida"
374,infraphylum,"Entosiphona"
375,class,"Entosiphonea"
376,order,"Entosiphonida"
377,subphylum,"Glycomonada"
378,class,"Diplonemea"
379,order,"Diplonemida"
380,class,"Kinetoplastea"
381,order,"Bodonida"
382,order,"Prokinetoplastida"
383,order,"Trypanosomatida"
384,subphylum,"Postgaardia"
385,class,"Postgaardea"
386,order,"Bihospitida"
387,order,"Postgaardida"
388,infrakingdom,"EXCAVATA"
389,phylum,"Loukozoa"
390,subphylum,"Eolouka"
391,class,"Jakobea"
392,order,"Jakobida"
393,class,"Tsukubea"
394,order,"Tsukubamonadida"
395,subphylum,"Neolouka"
396,class,"Malawimonadea"
397,order,"Malawimonadida"
398,phylum,"Metamonada"
399,class,"Anaeromonadea"
400,order,"Oxymonadida"
401,order,"Trimastigida"
402,class,"Carpomonadea"
403,order,"Carpediemonadida"
404,order,"Chilomastigida"
405,order,"Dysnectida"
406,class,"Eopharyngea"
407,order,"Diplomonadida"
408,order,"Retortamonadida"
409,class,"Trichomonadea"
410,order,"Cristamonadida"
411,order,"Spirotrichonymphida"
412,order,"Trichomonadida"
413,order,"Tritrichomonadida"
414,class,"Trichonymphea"
415,order,"Lophomonadida"
416,order,"Trichonymphida"
417,phylum,"Percolozoa"
418,subphylum,"Pharyngomonada"
419,class,"Pharyngomonadea"
420,order,"Pharyngomonadida"
421,subphylum,"Tetramitia"
422,class,"Heterolobosea"
423,order,"Acrasida"
424,order,"Schizopyrenida"
425,class,"Lyromonadea"
426,order,"Lyromonadida"
427,class,"Percolatea"
428,order,"Percolomonadida"
429,order,"Pseudociliatida"
430,subkingdom,"SARCOMASTIGOTA"
431,phylum,"Amoebozoa"
432,order,"N.N. (Stereomyxidae)"
433,subphylum,"Conosa"
434,infraphylum,"Archamoebae"
435,class,"Archamoebea"
436,order,"Entamoebida"
437,order,"Mastigamoebida"
438,order,"Pelobiontida"
439,order,"Rhizomastigida"
440,superclass,"Mycetozoa"
s441,class,"Myxomycetes"
441,class,"Myxogastrea "
442,subclass,"Myxogastria"
443,superorder,"Columellidia"
444,order,"Echinosteliida"
445,order,"Fuscisporida"
446,superorder,"Lucisporidia"
447,order,"Liceida"
448,order,"Trichiida"
449,class,"Stelamoeba"
450,subclass,"Dictyostelea"
451,order,"Acytosteliales"
452,order,"Dictyosteliales"
453,subclass,"Exosporeae"
454,order,"Ceratiomyxida"
455,order,"Protosporangida"
456,infraphylum,"Semiconosia"
457,superclass,"Variosia"
458,class,"Variosea"
459,order,"Artodiscida"
460,order,"Holomastigida"
461,order,"Phalansteriida"
462,order,"Protostelida"
463,order,"Ramamoebida"
464,order,"Varipodida"
465,subphylum,"Lobosa"
466,superclass,"Cutosa"
467,class,"Cutosea"
468,order,"Squamocutida"
469,superclass,"Glycopoda"
470,class,"Discosea"
471,order,"Centramoebida"
472,order,"Dermamoebida"
473,order,"Glycostylida"
474,order,"Himatismenida"
475,order,"Thecamoebida"
s476,class,"Lobosea"
476,class,"Tubulinea "
477,subclass,"Echinamoebia"
478,order,"Echinamoebida"
479,subclass,"Leptomyxia"
480,order,"Leptomyxida"
481,subclass,"Neolobosia"
482,superorder,"Eulobosia"
483,order,"Arcellinida"
484,order,"Euamoebida"
485,superorder,"Trichosia"
486,order,"Trichosida"
487,phylum,"Aphelida"
488,class,"Aphelidea"
489,order,"Aphelidida"
490,phylum,"Choanozoa  [with Microsporidia,  Animalia, & Fungi constitutes ""Supergroup Opisthokonta""]"
491,subphylum,"Choanofila"
492,class,"Choanoflagellatea"
493,order,"Acanthoecida"
494,order,"Craspedida"
495,class,"Corallochytrea"
496,order,"Corallochytrida"
497,class,"Filasterea"
498,order,"Ministeriida"
499,class,"Ichthyosporea"
500,order,"Dermocystida"
501,order,"Eccrinida"
502,subphylum,"Paramycia"
503,class,"Cristidiscoidea"
504,order,"Fonticulida"
505,order,"Nucleariida"
506,class,"Rozellidea"
507,order,"Rozellida"
508,phylum,"Microsporidia  [with Choanozoa, Animalia, & Fungi constitutes ""Supergroup Opisthokonta""]"
509,class,"Disporea"
510,order,"N.N. (e.g., Nosema)"
511,class,"Metchnikovellea"
512,order,"Metchnikovellida"
s513,class,"Microsporea"
513,class,"Minisporea "
s514,order,"Minisporea"
514,order,"Minisporida "
515,class,"Pleistophorea"
516,order,"Pleistophorida"
517,phylum,"Sulcozoa"
518,subphylum,"Apusozoa"
519,class,"Breviatea"
520,order,"Breviatida"
521,class,"Thecomonadea"
522,order,"Apusomonadida"
523,subphylum,"Varisulca"
524,class,"Diphyllatea"
525,order,"Diphylleida"
526,class,"Glissodiscea"
527,order,"Mantamonadida"
528,order,"Planomonadida"
529,class,"Hilomonadea"
530,order,"Rigifilida"
531,kingdom,"CHROMISTA"
532,subkingdom,"HACROBIA"
533,phylum,"Cryptista"
534,subphylum,"Corbihelia"
535,superclass,"Corbistoma"
536,class,"Picomonadea"
537,order,"Picomonadida"
538,class,"Telonemea"
539,order,"Telonemida"
540,superclass,"Endohelia"
541,class,"Endohelea"
542,order,"Heliomonadida"
543,order,"Microhelida"
544,subphylum,"Palpitia"
545,class,"Palpitea"
546,order,"Palpitida"
547,subphylum,"Rollomonadia"
548,superclass,"Cryptomonada"
549,class,"Cryptophyceae"
550,order,"Cryptomonadales"
551,order,"Pyrenomonadales"
552,order,"Tetragonidiales"
553,class,"Goniomonadea"
554,order,"Goniomonadida"
555,superclass,"Leucocrypta"
556,class,"Leucocryptea"
557,order,"Kathablepharida"
558,phylum,"Haptista"
559,subphylum,"Alveidia"
560,class,"Alveidea"
561,order,"Alveida"
562,subphylum,"Haptophytina"
s563,class,"Prymnesiophyceae"
563,class,"Coccolithophyceae "
564,order,"Coccolithales"
565,order,"Coccosphaerales"
566,order,"Isochrysidales"
567,order,"Phaeocystales"
568,order,"Prymnesiales"
569,order,"Syracosphaerales"
570,order,"Zygodiscales"
571,class,"Pavlovophyceae"
572,order,"Pavlovales"
573,class,"Rappephyceae"
574,subphylum,"Heliozoa"
575,class,"Centrohelea"
576,order,"Acanthocystida"
577,order,"Pterocystida"
s578,subkingdom,"""Supergroup SAR"""
578,subkingdom,"HAROSA "
579,infrakingdom,"HALVARIA"
580,superphylum,"Alveolata"
581,phylum,"Acavomonidia"
582,class,"Acavomonea"
583,order,"Acavomonida"
584,phylum,"Ciliophora"
585,subphylum,"Intramacronucleata"
586,infraphylum,"Protocruzia"
587,class,"Protocruzea"
588,subclass,"Protocruziidia"
589,order,"Protocruziida"
590,infraphylum,"Spirotrichia"
591,class,"Spirotrichea"
592,subclass,"Choreotrichia"
593,order,"Choreotrichida"
594,order,"Tintinnida"
595,subclass,"Hypotrichia"
596,order,"Euplotida"
597,order,"Kiitrichida"
598,subclass,"Licnophoria"
599,order,"Licnophorida"
600,subclass,"Oligotrichia"
601,order,"Strombidiida"
602,subclass,"Phacodiniidia"
603,order,"Phacodiniida"
